uid,name,city,state,country,latitude,longitude,url
47,St. Elizabeth the New Martyr Orthodox Church,"Rocky Hill, NJ",NJ,United States,40.39661,-74.636694,https://directory.stinnocentpress.com/viewparish.cgi?Uid=47&lang=en
154,Church of the Assumption,"Trenton, NJ",NJ,United States,40.2175364,-74.7619222,https://directory.stinnocentpress.com/viewparish.cgi?Uid=154&lang=en
41,Holy Trinity Church,"Vineland, NJ",NJ,United States,39.488034,-75.065578,https://directory.stinnocentpress.com/viewparish.cgi?Uid=41&lang=en
98,St. Michael&#39;s Cathedral,"Wayne, NJ",NJ,United States,40.9775362,-74.2664875,https://directory.stinnocentpress.com/viewparish.cgi?Uid=98&lang=en
651,St. Joseph of Arimathea Orthodox Mission,", NM",NM,United States,34.9727305,-105.0323635,https://directory.stinnocentpress.com/viewparish.cgi?Uid=651&lang=en
476,Kellion of St. Anthony the Great,"Alamogordo, NM",NM,United States,32.7481467,-105.9152596,https://directory.stinnocentpress.com/viewparish.cgi?Uid=476&lang=en
117,St. Benedict of Nursia Chapel,"Hobbs, NM",NM,United States,32.723717,-103.115898,https://directory.stinnocentpress.com/viewparish.cgi?Uid=117&lang=en
324,St. Juliana of Lazarevo Church,"Santa Fe, NM",NM,United States,35.6712907,-106.0048954,https://directory.stinnocentpress.com/viewparish.cgi?Uid=324&lang=en
31,Church of the Nativity of the Mother of God,"Albany, NY",NY,United States,42.734087,-73.825404,https://directory.stinnocentpress.com/viewparish.cgi?Uid=31&lang=en
579,Saint Herman of Alaska Orthodox Church / Cloud-Bearing Mountain Retreat Center,"Bovina, NY",NY,United States,42.2634268,-74.6958519,https://directory.stinnocentpress.com/viewparish.cgi?Uid=579&lang=en
515,Church of the Holy Myrrhbearing Women,"Brooklyn, NY",NY,United States,40.5917429,-73.9922083,https://directory.stinnocentpress.com/viewparish.cgi?Uid=515&lang=en
208,New Martyrs and Confessors of Russia Orthodox Church,"Brooklyn, NY",NY,United States,40.606413,-74.003528,https://directory.stinnocentpress.com/viewparish.cgi?Uid=208&lang=en
183,Church of The Mother of God Inexhaustable Cup and St. John of Kronstadt Chapel,"Brooklyn, NY",NY,United States,40.579955,-73.959459,https://directory.stinnocentpress.com/viewparish.cgi?Uid=183&lang=en
53,St. Nicholas Orthodox Church,"Endicott, NY",NY,United States,42.1,-76.07,https://directory.stinnocentpress.com/viewparish.cgi?Uid=53&lang=en
27,Holy Annunciation Church,"Flushing, NY",NY,United States,40.758053,-73.816483,https://directory.stinnocentpress.com/viewparish.cgi?Uid=27&lang=en
505,Church of the Holy Life-Creating Trinity at St. Innocent of Moscow Retreat Center,"Franklin, NY",NY,United States,42.3594133454682,-75.1560708470215,https://directory.stinnocentpress.com/viewparish.cgi?Uid=505&lang=en
25,Church of the Intercession of the Holy Virgin and St. Sergius,"Glen Cove, NY",NY,United States,40.86905,-73.641454,https://directory.stinnocentpress.com/viewparish.cgi?Uid=25&lang=en
538,St. Luke the Evangelist Mission,"Hyde Park, NY",NY,United States,41.7898341,-73.8658902,https://directory.stinnocentpress.com/viewparish.cgi?Uid=538&lang=en
59,Entrance into the Temple of the Holy Virgin Church,"Jamesville, NY",NY,United States,43.03,-76.1,https://directory.stinnocentpress.com/viewparish.cgi?Uid=59&lang=en
56,Holy Trinity Stavropegial Monastery,"Jordanville, NY",NY,United States,42.930159363562,-74.9351692199707,https://directory.stinnocentpress.com/viewparish.cgi?Uid=56&lang=en
453,Nativity of the Holy Mother of God at the Hermitage of Our Lady of Kursk,"Mahopac, NY",NY,United States,41.3961073973625,-73.7193112120727,https://directory.stinnocentpress.com/viewparish.cgi?Uid=453&lang=en
24,New Kursk Root Stavropegial Hermitage,"Mahopac, NY",NY,United States,41.373214,-73.7321429,https://directory.stinnocentpress.com/viewparish.cgi?Uid=24&lang=en
616,Iveron Mother of God Monastery,"Mohawk, NY",NY,United States,42.918191,-74.924179,https://directory.stinnocentpress.com/viewparish.cgi?Uid=616&lang=en
586,Chapel of the Seven Youths of Ephesus,"Morris, NY",NY,United States,42.5464951,-75.2501048,https://directory.stinnocentpress.com/viewparish.cgi?Uid=586&lang=en
29,Holy Dormition Novo-Diveevo Stavropegial Convent,"Nanuet, NY",NY,United States,41.111687,-74.023736,https://directory.stinnocentpress.com/viewparish.cgi?Uid=29&lang=en
156,Holy Trinity Church,"New York, NY",NY,United States,40.7681182,-73.9141432,https://directory.stinnocentpress.com/viewparish.cgi?Uid=156&lang=en
20,Synodal Cathedral of the Mother of God of the Sign,"New York, NY",NY,United States,40.7848274,-73.9544688,https://directory.stinnocentpress.com/viewparish.cgi?Uid=20&lang=en
590,Chapel of St. Anastasia of Serbia,"New York, NY",NY,United States,40.7664678,-73.9103834,https://directory.stinnocentpress.com/viewparish.cgi?Uid=590&lang=en
385,Church of St. Sergius of Radonezh at the Synodal Cathedral,"New York, NY",NY,United States,40.7848274,-73.9544688,https://directory.stinnocentpress.com/viewparish.cgi?Uid=385&lang=en
609,St. Andrew Orthodox Mission,"New York, NY",NY,United States,40.8691673,-73.6241165,https://directory.stinnocentpress.com/viewparish.cgi?Uid=609&lang=en
587,Parish of the Holy Apostle and Evangelist Mark,"New York, NY",NY,United States,40.5867442,-73.8091438,https://directory.stinnocentpress.com/viewparish.cgi?Uid=587&lang=en
588,Parish of St. Gregory the Theologian at Union Theological Seminary,"New York, NY",NY,United States,40.8112487,-73.9616618,https://directory.stinnocentpress.com/viewparish.cgi?Uid=588&lang=en
163,Holy Fathers Church,"New York, NY",NY,United States,40.8306732,-73.9453636,https://directory.stinnocentpress.com/viewparish.cgi?Uid=163&lang=en
589,St. Joasaph of Belgorod Church,"New York, NY",NY,United States,40.610198,-73.9749335,https://directory.stinnocentpress.com/viewparish.cgi?Uid=589&lang=en
391,Christminster Western-Rite Stavropegial Monastery,"Niagara Falls, NY",NY,United States,43.0872,-79.0386105,https://directory.stinnocentpress.com/viewparish.cgi?Uid=391&lang=en
22,Great Martyr George Chapel,"Northville, NY",NY,United States,43.173642,-74.102484,https://directory.stinnocentpress.com/viewparish.cgi?Uid=22&lang=en
28,Holy Virgin Protection Church,"Nyack, NY",NY,United States,41.088598,-73.922594,https://directory.stinnocentpress.com/viewparish.cgi?Uid=28&lang=en
38,St. Nicholas Church,"Poughkeepsie, NY",NY,United States,41.692675,-73.931007,https://directory.stinnocentpress.com/viewparish.cgi?Uid=38&lang=en
434,St. Ambrose of Milan Western-Rite Stavropegial Orthodox Church,"Putnam Valley, NY",NY,United States,41.3584755,-73.8681441,https://directory.stinnocentpress.com/viewparish.cgi?Uid=434&lang=en
166,Russian Orthodox Church of the Assumption,"Richmond Hill, NY",NY,United States,40.6900246,-73.8213213,https://directory.stinnocentpress.com/viewparish.cgi?Uid=166&lang=en
58,Protection of the Mother of God Russian Orthodox Church,"Rochester, NY",NY,United States,43.15,-77.53,https://directory.stinnocentpress.com/viewparish.cgi?Uid=58&lang=en
452,Monastery of St Dionysios the Areopagite,"Saint James , NY",NY,United States,40.8839029,-73.1657349,https://directory.stinnocentpress.com/viewparish.cgi?Uid=452&lang=en
26,St. Seraphim of Sarov Orthodox Church,"Sea Cliff, NY",NY,United States,40.8517287,-73.6418912,https://directory.stinnocentpress.com/viewparish.cgi?Uid=26&lang=en
336,Icon of the Mother of God &quot;Otrada&quot; Chapel,"Spring Valley, NY",NY,United States,41.084626,-74.04258,https://directory.stinnocentpress.com/viewparish.cgi?Uid=336&lang=en
377,Church of the Icon of the Mother of God &quot;Unexpected Joy&quot;,"Staten Island, NY",NY,United States,40.6305623,-74.0819202,https://directory.stinnocentpress.com/viewparish.cgi?Uid=377&lang=en
522,Fr Symeon Najmanje [Kilmer],"Syracuse, NY",NY,United States,0.0,0.0,https://directory.stinnocentpress.com/viewparish.cgi?Uid=522&lang=en
60,St. John of Kronstadt Orthodox Memorial Church,"Utica, NY",NY,United States,43.09,-75.22,https://directory.stinnocentpress.com/viewparish.cgi?Uid=60&lang=en
32,Sts. Theodore Orthodox Church,"Williamsville, NY",NY,United States,42.959541,-78.74874,https://directory.stinnocentpress.com/viewparish.cgi?Uid=32&lang=en
316,Sts. Peter and Paul Chapel,"Woodbourne, NY",NY,United States,41.7958880981914,-74.551420211792,https://directory.stinnocentpress.com/viewparish.cgi?Uid=316&lang=en
469,saint george russian orthodox mission,"poughkeepsie, NY",NY,United States,41.7010677,-73.9245396,https://directory.stinnocentpress.com/viewparish.cgi?Uid=469&lang=en
600,Saint Herman Mission,", NC",NC,United States,35.7595731,-79.0192997,https://directory.stinnocentpress.com/viewparish.cgi?Uid=600&lang=en
3,Orthodox Church of the Reigning Mother of God,"Charlotte, NC",NC,United States,35.292074,-80.837323,https://directory.stinnocentpress.com/viewparish.cgi?Uid=3&lang=en
606,Chapel of Righteous Anna at Chapel Hills Winery,"Columbus, NC",NC,United States,35.2242053,-82.0357101,https://directory.stinnocentpress.com/viewparish.cgi?Uid=606&lang=en
4,St. Nicholas Orthodox Church,"Fletcher, NC",NC,United States,35.438734,-82.528058,https://directory.stinnocentpress.com/viewparish.cgi?Uid=4&lang=en
531,Holy Wisdom Orthodox Church,"Gastonia, NC",NC,United States,35.2153508,-81.1116052,https://directory.stinnocentpress.com/viewparish.cgi?Uid=531&lang=en
604,St. Timothy the Apostle Mission,"Hickory, NC",NC,United States,35.7451353,-81.3359019,https://directory.stinnocentpress.com/viewparish.cgi?Uid=604&lang=en
1,Holy Trinity Orthodox Church,"Mebane, NC",NC,United States,36.087084,-79.235732,https://directory.stinnocentpress.com/viewparish.cgi?Uid=1&lang=en
576,St. Thomas the Apostle Russian Orthodox Mission,"Tobaccoville, NC",NC,United States,36.2104532,-80.3884594,https://directory.stinnocentpress.com/viewparish.cgi?Uid=576&lang=en
381,All Saints Orthodox Church and Mission,"Fargo, ND",ND,United States,46.9091662,-96.787376,https://directory.stinnocentpress.com/viewparish.cgi?Uid=381&lang=en
491,St. Mary of Egypt Stavropegial Western-Rite Orthodox Church,"Cincinnati, OH",OH,United States,39.2028354,-84.5475436,https://directory.stinnocentpress.com/viewparish.cgi?Uid=491&lang=en
384,St. John of San Francisco Mission,"Columbus, OH",OH,United States,40.0088039,-83.0009271,https://directory.stinnocentpress.com/viewparish.cgi?Uid=384&lang=en
624,Monastery of St. John the Theologian,"Hiram, OH",OH,United States,41.334193,-81.177667,https://directory.stinnocentpress.com/viewparish.cgi?Uid=624&lang=en
189,St. George Orthodox Church,"Loveland, OH",OH,United States,39.274139,-84.2836279,https://directory.stinnocentpress.com/viewparish.cgi?Uid=189&lang=en
175,St. Sergius Cathedral,"Parma, OH",OH,United States,41.385776,-81.684803,https://directory.stinnocentpress.com/viewparish.cgi?Uid=175&lang=en
83,St. Tikhon Orthodox Community,"Sandusky, OH",OH,United States,41.39813,-82.647298,https://directory.stinnocentpress.com/viewparish.cgi?Uid=83&lang=en
323,Kazan Mother of God Church,"Urbana, OH",OH,United States,40.107097,-83.754467,https://directory.stinnocentpress.com/viewparish.cgi?Uid=323&lang=en
91,St. Benedict Orthodox Church,"Oklahoma City, OK",OK,United States,35.409558,-97.449894,https://directory.stinnocentpress.com/viewparish.cgi?Uid=91&lang=en
529,St Nino Equal-to-the-Apostles Orthodox Church,"Stillwater, OK",OK,United States,36.1156071,-97.0583681,https://directory.stinnocentpress.com/viewparish.cgi?Uid=529&lang=en
69,St. Martin the Merciful Church,"Corvallis, OR",OR,United States,44.6046088,-123.2582424,https://directory.stinnocentpress.com/viewparish.cgi?Uid=69&lang=en
68,New Russian Martyrs Church,"Mulino, OR",OR,United States,45.2439222,-122.5829457,https://directory.stinnocentpress.com/viewparish.cgi?Uid=68&lang=en
176,Church of St. Innocent of Irkutsk,"Rogue River, OR",OR,United States,42.429259,-123.161554,https://directory.stinnocentpress.com/viewparish.cgi?Uid=176&lang=en
592,Holy Trinity Cemetery,", PA",PA,United States,40.0610488,-79.8865024,https://directory.stinnocentpress.com/viewparish.cgi?Uid=592&lang=en
493,Our Lady of Walsingham Staropegial Western-Rite Orthodox Church,"Allison Park, PA",PA,United States,40.5845867,-79.999543,https://directory.stinnocentpress.com/viewparish.cgi?Uid=493&lang=en
177,St. Basil the Great Orthodox Church,"Belle Vernon, PA",PA,United States,40.1459559,-79.7898125,https://directory.stinnocentpress.com/viewparish.cgi?Uid=177&lang=en
325,Holy Trinity Church,"California, PA",PA,United States,40.061812,-79.885772,https://directory.stinnocentpress.com/viewparish.cgi?Uid=325&lang=en
661,Holy Trinity Cemetery,"California, PA",PA,United States,40.0612249,-79.8858594,https://directory.stinnocentpress.com/viewparish.cgi?Uid=661&lang=en
23,Nativity of Christ Church,"Erie, PA",PA,United States,42.136058,-80.082644,https://directory.stinnocentpress.com/viewparish.cgi?Uid=23&lang=en
263,Christ Our Savior Orthodox Church,"Indiana, PA",PA,United States,40.667798,-79.055022,https://directory.stinnocentpress.com/viewparish.cgi?Uid=263&lang=en
662,St. John the Wonderworker of America Mission,"Lewisburg, PA",PA,United States,40.965083,-76.8831983,https://directory.stinnocentpress.com/viewparish.cgi?Uid=662&lang=en
537,St. John of Shanghai and San Francisco Russian Orthodox Mission Church,"Lewisburg, PA",PA,United States,40.9651087,-76.8831912,https://directory.stinnocentpress.com/viewparish.cgi?Uid=537&lang=en
179,St. John the Baptist Church,"Mayfield, PA",PA,United States,41.5377692,-75.5353606,https://directory.stinnocentpress.com/viewparish.cgi?Uid=179&lang=en
593,Dormition Church,"McKeesport, PA",PA,United States,40.3495,-79.8633395,https://directory.stinnocentpress.com/viewparish.cgi?Uid=593&lang=en
320,St. Stephen Russian Orthodox Church,"Old Forge, PA",PA,United States,41.3808928,-75.7409156,https://directory.stinnocentpress.com/viewparish.cgi?Uid=320&lang=en
19,Church of Our Lady â€˜â€˜The Joy of All in Sorrowâ€™â€™,"Philadelphia, PA",PA,United States,39.9642623,-75.1710913,https://directory.stinnocentpress.com/viewparish.cgi?Uid=19&lang=en
188,St. Basil&#39;s Russian Orthodox Church,"Simpson, PA",PA,United States,41.594962,-75.485683,https://directory.stinnocentpress.com/viewparish.cgi?Uid=188&lang=en
181,Christ the Saviour Orthodox Church,"Sugar Notch, PA",PA,United States,41.1979265,-75.9228481,https://directory.stinnocentpress.com/viewparish.cgi?Uid=181&lang=en
435,Christ the King Western-Rite Stavropegial Orthodox Church,"Tullytown, PA",PA,United States,40.1413766,-74.8129466,https://directory.stinnocentpress.com/viewparish.cgi?Uid=435&lang=en
340,Holy Virgin Dormition Church,"ÐœÐ°ÐºÐºÐ¸ÑÐ¿Ð¾Ñ€Ñ‚ , PA",PA,United States,40.3450499,-79.8464804,https://directory.stinnocentpress.com/viewparish.cgi?Uid=340&lang=en
418,San Juan Climacos Orthodox Mission,"San German, PR",PR,United States,18.0808333,-67.0408333,https://directory.stinnocentpress.com/viewparish.cgi?Uid=418&lang=en
436,St. Cuthbert Western-Rite Stavropegial Orthodox Church,"Pawtucket, RI",RI,United States,41.866704,-71.3847399,https://directory.stinnocentpress.com/viewparish.cgi?Uid=436&lang=en
6,Sts. Cyril and Methodius Orthodox Christian Church,"Summerville, SC",SC,United States,33.0200338,-80.1762377,https://directory.stinnocentpress.com/viewparish.cgi?Uid=6&lang=en
5,St. Elizabeth the New Martyr Orthodox Church,"West Columbia, SC",SC,United States,33.9872429,-81.081998,https://directory.stinnocentpress.com/viewparish.cgi?Uid=5&lang=en
21,St. Tikhon the New-Martyr Church,"Blountville, TN",TN,United States,36.5323002,-82.3237175,https://directory.stinnocentpress.com/viewparish.cgi?Uid=21&lang=en
570,Saint Bartholomew Russian Orthodox Church,"Chattanooga, TN",TN,United States,35.0438805,-85.2939283,https://directory.stinnocentpress.com/viewparish.cgi?Uid=570&lang=en
551,"Christ the Savior, Mission Orthodox Church","Chattanooga, TN",TN,United States,35.0110531,-85.1446346,https://directory.stinnocentpress.com/viewparish.cgi?Uid=551&lang=en
539,St. Mary the Virgin Orthodox Skete,"Dayton, TN",TN,United States,35.565358,-85.107017,https://directory.stinnocentpress.com/viewparish.cgi?Uid=539&lang=en
530,Saint Mary the Virgin Orthodox Church,"Dayton, TN",TN,United States,35.565358,-85.107017,https://directory.stinnocentpress.com/viewparish.cgi?Uid=530&lang=en
634,St. Elizabeth the New-Martyr Church,"Lebanon, TN",TN,United States,36.2523762,-86.1474722,https://directory.stinnocentpress.com/viewparish.cgi?Uid=634&lang=en
422,St. Nektarios Church,"Lenoir City, TN",TN,United States,35.8786537576802,-84.3243598937988,https://directory.stinnocentpress.com/viewparish.cgi?Uid=422&lang=en
400,St. Innocent Mission,"Nashville, TN",TN,United States,36.1830184,-86.792758,https://directory.stinnocentpress.com/viewparish.cgi?Uid=400&lang=en
605,Holy Prophet Elijah Mission,"Pigeon Forge, TN",TN,United States,35.8045936,-83.5797779,https://directory.stinnocentpress.com/viewparish.cgi?Uid=605&lang=en
182,Theotokos of the Life-Giving Spring Orthodox Mission,"Bryan, TX",TX,United States,30.6629095,-96.3703575,https://directory.stinnocentpress.com/viewparish.cgi?Uid=182&lang=en
554,Holly Cross Orthodox Mission,"Corpus Christi, TX",TX,United States,27.6650544,-97.3879361,https://directory.stinnocentpress.com/viewparish.cgi?Uid=554&lang=en
92,Holy Mother of God Orthodox Church,"Georgetown, TX",TX,United States,30.6604921,-97.6934348,https://directory.stinnocentpress.com/viewparish.cgi?Uid=92&lang=en
102,St. Vladimir Orthodox Church,"Houston, TX",TX,United States,29.8448725,-95.3993093,https://directory.stinnocentpress.com/viewparish.cgi?Uid=102&lang=en
509,St. Andrew the First-Called Orthodox Church,"Lockhart, TX",TX,United States,29.8836915,-97.6723854,https://directory.stinnocentpress.com/viewparish.cgi?Uid=509&lang=en
553,SAINT CATHERINE THE GREAT-MARTYR  ORTHODOX CHRISTIAN COMMUNITY,"Lubbock, TX",TX,United States,33.580831,-101.8688121,https://directory.stinnocentpress.com/viewparish.cgi?Uid=553&lang=en
577,St Joseph The All Comely,"Marshall , TX",TX,United States,32.5544847,-94.3688987,https://directory.stinnocentpress.com/viewparish.cgi?Uid=577&lang=en
339,St. Nicholas Russian Orthodox Church,"McKinney, TX",TX,United States,33.190774,-96.614172,https://directory.stinnocentpress.com/viewparish.cgi?Uid=339&lang=en
488,Sts. Joachim and Anna Orthodox Mission,"San Antonio, TX",TX,United States,29.5265358,-98.6235836,https://directory.stinnocentpress.com/viewparish.cgi?Uid=488&lang=en
309,St. Jonah Orthodox Church,"Spring, TX",TX,United States,30.065836,-95.461509,https://directory.stinnocentpress.com/viewparish.cgi?Uid=309&lang=en
186,St. George Russian Orthodox Church,"West Jordan, UT",UT,United States,40.627879,-111.929927,https://directory.stinnocentpress.com/viewparish.cgi?Uid=186&lang=en
581,Saint Michael the Archangel Orthodox Mission,"Burlington, VT",VT,United States,44.4758442,-73.212121,https://directory.stinnocentpress.com/viewparish.cgi?Uid=581&lang=en
582,Holy Trinity Orthodox Church,"Aylett, VA",VA,United States,37.783623,-77.1339567,https://directory.stinnocentpress.com/viewparish.cgi?Uid=582&lang=en
578,Holy Innocents & St Nina,"Bristow, VA",VA,United States,38.7540642,-77.5632853,https://directory.stinnocentpress.com/viewparish.cgi?Uid=578&lang=en
597,St. Joseph of Optina Church,"Chesapeake, VA",VA,United States,36.7610734,-76.361775,https://directory.stinnocentpress.com/viewparish.cgi?Uid=597&lang=en
646,Mission of St. Anna,"Louisa, VA",VA,United States,37.891746,-77.969347,https://directory.stinnocentpress.com/viewparish.cgi?Uid=646&lang=en
621,Holy Myrrhbearers Orthodox Christian Church,"Mt. Crawford, VA",VA,United States,38.3360373,-78.8627361,https://directory.stinnocentpress.com/viewparish.cgi?Uid=621&lang=en
598,Chapel of the Mother of God &quot;Inexhaustible Cup&quot;,"Natural Bridge Station, VA",VA,United States,37.599024,-79.5942933,https://directory.stinnocentpress.com/viewparish.cgi?Uid=598&lang=en
596,Mission of St. Gregory Palamas,"Richmond, VA",VA,United States,37.6308775,-77.4515749,https://directory.stinnocentpress.com/viewparish.cgi?Uid=596&lang=en
543,Saint Tikhon Orthodox Church,"Ruther Glen, VA",VA,United States,37.9036169,-77.468417,https://directory.stinnocentpress.com/viewparish.cgi?Uid=543&lang=en
569,Saint Demetrios of Thessaloniki  Monastery,"Spotsylvania, VA",VA,United States,38.2444606,-77.6713963,https://directory.stinnocentpress.com/viewparish.cgi?Uid=569&lang=en
495,St. Herman of Alaska Church,"Stafford, VA",VA,United States,38.474415,-77.341406,https://directory.stinnocentpress.com/viewparish.cgi?Uid=495&lang=en
574,Church of the Assumption,"Stafford , VA",VA,United States,38.4961475,-77.5220591,https://directory.stinnocentpress.com/viewparish.cgi?Uid=574&lang=en
194,St. Joseph of Optina Russian Orthodox Church,"Virginia Beach, VA",VA,United States,36.816172,-76.16328,https://directory.stinnocentpress.com/viewparish.cgi?Uid=194&lang=en
685,Philippine Mission of the Russian Orthodox Church,", WA",WA,United States,47.7510741,-120.7401386,https://directory.stinnocentpress.com/viewparish.cgi?Uid=685&lang=en
477,St. John Orthodox Mission,"Kennewick, WA",WA,United States,46.200524,-119.277642,https://directory.stinnocentpress.com/viewparish.cgi?Uid=477&lang=en
33,St. Nicholas Cathedral,"Seattle, WA",WA,United States,47.616629,-122.315585,https://directory.stinnocentpress.com/viewparish.cgi?Uid=33&lang=en
535,St. Innocent Orthodox Church,"Silverdale, WA",WA,United States,47.6462594,-122.6957038,https://directory.stinnocentpress.com/viewparish.cgi?Uid=535&lang=en
572,St. Gabriel the Archangel,"Stanwood, WA",WA,United States,48.2468671,-122.3223395,https://directory.stinnocentpress.com/viewparish.cgi?Uid=572&lang=en
74,All-Merciful Saviour Monastery,"Vashon Island, WA",WA,United States,47.3646564,-122.4617547,https://directory.stinnocentpress.com/viewparish.cgi?Uid=74&lang=en
81,St. Silouan Orthodox Church,"Walla Walla, WA",WA,United States,46.0649119,-118.3251125,https://directory.stinnocentpress.com/viewparish.cgi?Uid=81&lang=en
541,St. Leonard Orthodox Church,"Keystone, WV",WV,United States,37.4115156,-81.4732742,https://directory.stinnocentpress.com/viewparish.cgi?Uid=541&lang=en
595,St. John of Damascus Chapel,"Wayne, WV",WV,United States,38.2407584,-82.3514406,https://directory.stinnocentpress.com/viewparish.cgi?Uid=595&lang=en
49,Holy Cross Monastery,"Wayne, WV",WV,United States,38.2232021,-82.354842,https://directory.stinnocentpress.com/viewparish.cgi?Uid=49&lang=en
89,Convent of the Nativity of the Virgin Mary,"Wayne, WV",WV,United States,38.22691,-82.347472,https://directory.stinnocentpress.com/viewparish.cgi?Uid=89&lang=en
15,Christ the Savior Orthodox Church,"Wayne, WV",WV,United States,38.2593791255758,-82.4483156204224,https://directory.stinnocentpress.com/viewparish.cgi?Uid=15&lang=en
37,Nativity of the Mother of God Orthodox Mission,"Appleton, WI",WI,United States,44.266004,-88.399613,https://directory.stinnocentpress.com/viewparish.cgi?Uid=37&lang=en
255,St. John the Baptist Church,"Blue River, WI",WI,United States,43.175402,-90.589343,https://directory.stinnocentpress.com/viewparish.cgi?Uid=255&lang=en
64,Kursk Icon of the Mother of God Mission,"Edgar, WI",WI,United States,45.002979,-89.896776,https://directory.stinnocentpress.com/viewparish.cgi?Uid=64&lang=en
439,St. Paul the Apostle Western-Rite Stavropegial Orthodox Church,"Kenosha, WI",WI,United States,42.591462,-87.819837,https://directory.stinnocentpress.com/viewparish.cgi?Uid=439&lang=en
184,Holy Trinity Russian Orthodox Church,"Milwaukee, WI",WI,United States,42.9789249,-88.020857,https://directory.stinnocentpress.com/viewparish.cgi?Uid=184&lang=en
563,St John of Shanghai Mission,"Portage, WI",WI,United States,43.5411292,-89.4627516,https://directory.stinnocentpress.com/viewparish.cgi?Uid=563&lang=en
190,Holy Virgin Protection Convent,"Bluffton, AB",AB,Canada,52.749905,-114.292607,https://directory.stinnocentpress.com/viewparish.cgi?Uid=190&lang=en
61,All Saints Orthodox Church,"Calgary, AB",AB,Canada,51.06,-114.04,https://directory.stinnocentpress.com/viewparish.cgi?Uid=61&lang=en
411,St. John Chrysostom Church,"Calgary, AB",AB,Canada,50.9258724,-113.9829784,https://directory.stinnocentpress.com/viewparish.cgi?Uid=411&lang=en
666,Russian Orthodox Church of St. John of Shanghai and San Francisco,"Calgary, AB",AB,Canada,50.9603245,-114.1041279,https://directory.stinnocentpress.com/viewparish.cgi?Uid=666&lang=en
667,St. Vladimir Cathedral,"Edmonton, AB",AB,Canada,53.5863224,-113.4464402,https://directory.stinnocentpress.com/viewparish.cgi?Uid=667&lang=en
373,St. Andrew Church the First-called,"Edson, AB",AB,Canada,53.5880062,-116.4288508,https://directory.stinnocentpress.com/viewparish.cgi?Uid=373&lang=en
192,Holy Dormition of Our Lady Church,"Lethbridge, AB",AB,Canada,49.7128648,-112.8333922,https://directory.stinnocentpress.com/viewparish.cgi?Uid=192&lang=en
372,Dormition Skete,"Northville, AB",AB,Canada,53.611641,-115.350502,https://directory.stinnocentpress.com/viewparish.cgi?Uid=372&lang=en
123,Community of St. George the Great Martyr,"Red Deer, AB",AB,Canada,52.2690328,-113.8114955,https://directory.stinnocentpress.com/viewparish.cgi?Uid=123&lang=en
77,St. Nicholas Orthodox Church,"Vancouver, BC",BC,Canada,49.258791,-123.0869638,https://directory.stinnocentpress.com/viewparish.cgi?Uid=77&lang=en
76,Holy Trinity Orthodox Church,"Vancouver, BC",BC,Canada,49.28,-123.08,https://directory.stinnocentpress.com/viewparish.cgi?Uid=76&lang=en
333,St. Sophia Orthodox Church,"Victoria, BC",BC,Canada,48.4109482,-123.3470738,https://directory.stinnocentpress.com/viewparish.cgi?Uid=333&lang=en
63,Holy Resurrection Church,"Winnipeg, MB",MB,Canada,49.92,-97.15,https://directory.stinnocentpress.com/viewparish.cgi?Uid=63&lang=en
664,Chapel of the Holy Apostles,", ON",ON,Canada,51.253775,-85.3232139,https://directory.stinnocentpress.com/viewparish.cgi?Uid=664&lang=en
663,St. Alexis Chapel,"Bracebridge, ON",ON,Canada,45.0915419,-79.152392,https://directory.stinnocentpress.com/viewparish.cgi?Uid=663&lang=en
122,Parish of St. Tikhon of Moscow,"Cambridge, ON",ON,Canada,43.358711,-80.299776,https://directory.stinnocentpress.com/viewparish.cgi?Uid=122&lang=en
552,Community of the Pochaev Icon Mother of God,"Grassie, ON",ON,Canada,43.1524812,-79.6016516,https://directory.stinnocentpress.com/viewparish.cgi?Uid=552&lang=en
196,Veil of Holy Mother Church,"Hamilton, ON",ON,Canada,43.2492401,-79.8472619,https://directory.stinnocentpress.com/viewparish.cgi?Uid=196&lang=en
443,"St. Benet House, Western-Rite Stavropegial Convent","Hamilton, ON",ON,Canada,43.2563888,-79.8501293,https://directory.stinnocentpress.com/viewparish.cgi?Uid=443&lang=en
197,Our Lady of Smolensk Church,"Jacksons Point, ON",ON,Canada,44.3148378,-79.3796629,https://directory.stinnocentpress.com/viewparish.cgi?Uid=197&lang=en
644,Blessed St. Xenia of Petersburg Church,"Kanata, ON",ON,Canada,45.3219653,-75.8903338,https://directory.stinnocentpress.com/viewparish.cgi?Uid=644&lang=en
198,Christ the Savior Church,"London, ON",ON,Canada,42.965882,-81.226926,https://directory.stinnocentpress.com/viewparish.cgi?Uid=198&lang=en
199,St. John of Rila Bulgarian Orthodox Church,"Niagara Falls, ON",ON,Canada,43.103182,-79.074477,https://directory.stinnocentpress.com/viewparish.cgi?Uid=199&lang=en
200,Protection of the Holy Virgin Memorial Church,"Ottawa, ON",ON,Canada,45.4070549,-75.7279627,https://directory.stinnocentpress.com/viewparish.cgi?Uid=200&lang=en
665,St. Vladimirâ€™s Russian Senior Residenc,"Ottawa, ON",ON,Canada,45.4075458,-75.7276293,https://directory.stinnocentpress.com/viewparish.cgi?Uid=665&lang=en
