uid,name,city,state,country,latitude,longitude,url
101,Holy Ascension Church,"Sacramento, CA",CA,United States,38.582232,-121.488248,https://directory.stinnocentpress.com/viewparish.cgi?Uid=101&lang=en
116,St. John of Kronstadt Church,"San Diego, CA",CA,United States,32.747906,-117.084625,https://directory.stinnocentpress.com/viewparish.cgi?Uid=116&lang=en
72,Holy Resurrection Orthodox Church,"San Francisco, CA",CA,United States,37.786448,-122.46497,https://directory.stinnocentpress.com/viewparish.cgi?Uid=72&lang=en
120,Church of the Mother of God of Kazan,"San Francisco, CA",CA,United States,37.7839524,-122.4791085,https://directory.stinnocentpress.com/viewparish.cgi?Uid=120&lang=en
566,Holy Virgin &quot;Joy of All Who Sorrow&quot; Cathedral,"San Francisco, CA",CA,United States,37.7803481,-122.486305,https://directory.stinnocentpress.com/viewparish.cgi?Uid=566&lang=en
118,St. Sergius of Radonezh Church,"San Francisco, CA",CA,United States,37.763011,-122.469131,https://directory.stinnocentpress.com/viewparish.cgi?Uid=118&lang=en
404,"Diocesan Administration, Diocese of Western-America","San Francisco, CA",CA,United States,37.77704,-122.473537,https://directory.stinnocentpress.com/viewparish.cgi?Uid=404&lang=en
73,St. Tikhon of Zadonsk Orthodox Church,"San Francisco, CA",CA,United States,37.77704,-122.473537,https://directory.stinnocentpress.com/viewparish.cgi?Uid=73&lang=en
71,Old Holy Virgin Cathedral,"San Francisco, CA",CA,United States,37.778016,-122.43094,https://directory.stinnocentpress.com/viewparish.cgi?Uid=71&lang=en
124,Holy Resurrection Church,"Santa Barbara, CA",CA,United States,34.4198538,-119.7102687,https://directory.stinnocentpress.com/viewparish.cgi?Uid=124&lang=en
125,Sts. Peter and Paul Russian Orthodox Church,"Santa Rosa, CA",CA,United States,38.390812,-122.743313,https://directory.stinnocentpress.com/viewparish.cgi?Uid=125&lang=en
126,St. Seraphim of Sarov Church,"Seaside, CA",CA,United States,36.6015138,-121.8508143,https://directory.stinnocentpress.com/viewparish.cgi?Uid=126&lang=en
540,Saint Silouan&#39;a Monastery,"Sonora, CA",CA,United States,38.011156,-120.387769,https://directory.stinnocentpress.com/viewparish.cgi?Uid=540&lang=en
115,St. Herman of Alaska Church,"Sunnyvale, CA",CA,United States,37.3800914,-122.0294657,https://directory.stinnocentpress.com/viewparish.cgi?Uid=115&lang=en
2,Church of All Russian Saints,"Denver, CO",CO,United States,39.674632,-104.949127,https://directory.stinnocentpress.com/viewparish.cgi?Uid=2&lang=en
54,St. Nicholas Orthodox Church,"Enfield, CT",CT,United States,42.0274293,-72.5478646,https://directory.stinnocentpress.com/viewparish.cgi?Uid=54&lang=en
40,St. Panteleimon Church,"Hartford, CT",CT,United States,41.734745,-72.6827613,https://directory.stinnocentpress.com/viewparish.cgi?Uid=40&lang=en
30,The Orthodox Church of the Holy New Martyrs and Confessors of Russia,"Norwich, CT",CT,United States,41.5798175,-72.0620818,https://directory.stinnocentpress.com/viewparish.cgi?Uid=30&lang=en
454,St. Sergius Russian Orthodox Chapel,"Southbury , CT",CT,United States,41.448943,-73.2502511,https://directory.stinnocentpress.com/viewparish.cgi?Uid=454&lang=en
129,Church of the Presentation of Christ in the Temple,"Stratford, CT",CT,United States,41.1987429,-73.1357275,https://directory.stinnocentpress.com/viewparish.cgi?Uid=129&lang=en
39,St. Nicholas Orthodox Church,"Stratford, CT",CT,United States,41.1843821,-73.142705,https://directory.stinnocentpress.com/viewparish.cgi?Uid=39&lang=en
594,Iveron Mother of God Cemetery Chapel at St. Paul&#39;s Rock Creek Cemetery,", DC",DC,United States,38.9458506,-77.0137592,https://directory.stinnocentpress.com/viewparish.cgi?Uid=594&lang=en
12,St. John the Baptist Orthodox Cathedral,"Washington, DC",DC,United States,38.93997,-77.037975,https://directory.stinnocentpress.com/viewparish.cgi?Uid=12&lang=en
417,St. Andrew the First-Called Mission,", FL",FL,United States,29.1987957,-81.0423429,https://directory.stinnocentpress.com/viewparish.cgi?Uid=417&lang=en
232,St. Nicholas Church,"Bunnell, FL",FL,United States,29.4740512,-81.224157,https://directory.stinnocentpress.com/viewparish.cgi?Uid=232&lang=en
506,Saint Catherine Mission,"Clearwater, FL",FL,United States,27.9472240447307,-82.7778447275085,https://directory.stinnocentpress.com/viewparish.cgi?Uid=506&lang=en
610,Holy St. Luke the Evangelist Chapel,"Coconut Creek, FL",FL,United States,26.2572383,-80.1909065,https://directory.stinnocentpress.com/viewparish.cgi?Uid=610&lang=en
608,Three Heirarchs Church,"Hollywood, FL",FL,United States,26.0189828,-80.2040952,https://directory.stinnocentpress.com/viewparish.cgi?Uid=608&lang=en
533,St. Xenia Orthodox Church Mission,"Interlachen, FL",FL,United States,29.6238574,-81.8903684,https://directory.stinnocentpress.com/viewparish.cgi?Uid=533&lang=en
451,St. Nina Orthodox Mission,"Key West, FL",FL,United States,24.5705975,-81.7529063,https://directory.stinnocentpress.com/viewparish.cgi?Uid=451&lang=en
549,St. Panteleimon Russian Orthodox Church,"Lantana, FL",FL,United States,26.5736443,-80.0596629,https://directory.stinnocentpress.com/viewparish.cgi?Uid=549&lang=en
17,St. Vladimir Orthodox Church,"Miami, FL",FL,United States,25.772943,-80.270037,https://directory.stinnocentpress.com/viewparish.cgi?Uid=17&lang=en
607,Apostolic Mission in Christ,"Miami, FL",FL,United States,25.7991587,-80.1933755,https://directory.stinnocentpress.com/viewparish.cgi?Uid=607&lang=en
611,Church of the Pochaev Icon of the Mother of God,"North Port, FL",FL,United States,27.0472356,-82.2565247,https://directory.stinnocentpress.com/viewparish.cgi?Uid=611&lang=en
528,New Tikhvin Skete of the Holy Mother of God,"Palm Coast, Florida, FL",FL,United States,29.4764082,-81.2236128,https://directory.stinnocentpress.com/viewparish.cgi?Uid=528&lang=en
519,Saint Luke Russian Orthodox Church,"Pompano Beach, FL",FL,United States,26.2916888,-80.1473263,https://directory.stinnocentpress.com/viewparish.cgi?Uid=519&lang=en
492,St. Joseph Staropegial Western-Rite Orthodox Church,"Sarasota, FL",FL,United States,27.370083,-82.553064,https://directory.stinnocentpress.com/viewparish.cgi?Uid=492&lang=en
18,St. Andrew Russian Orthodox Cathedral,"St. Petersburg, FL",FL,United States,27.8209857,-82.7260966,https://directory.stinnocentpress.com/viewparish.cgi?Uid=18&lang=en
330,St. Nicholas & San Gennaro Mission,"Sunrise, FL",FL,United States,26.166317,-80.309271,https://directory.stinnocentpress.com/viewparish.cgi?Uid=330&lang=en
601,Monastery of the Glorious Ascension,", GA",GA,United States,32.1656221,-82.9000751,https://directory.stinnocentpress.com/viewparish.cgi?Uid=601&lang=en
603,St. Michael Garden Cemetery Chapel,"Atlanta, GA",GA,United States,33.9460083,-84.272014,https://directory.stinnocentpress.com/viewparish.cgi?Uid=603&lang=en
10,Joy of All Who Sorrow Orthodox Church,"Cumming, GA",GA,United States,34.1833309,-84.245607,https://directory.stinnocentpress.com/viewparish.cgi?Uid=10&lang=en
